"Dates","OpenFrom","OpenTo"
2015-02-19,"09:00:00","19:00:00"
2015-02-20,"09:00:00","19:00:00"
2015-02-21,"09:00:00","18:00:00"
2015-02-22,"00:00:00","00:00:00"
2015-02-23,"09:00:00","19:00:00"
2015-02-24,"09:00:00","19:00:00"
2015-02-25,"09:00:00","19:00:00"
2015-02-26,"09:00:00","19:00:00"
2015-02-27,"09:00:00","19:00:00"
2015-02-28,"09:00:00","18:00:00"
2015-03-01,"00:00:00","00:00:00"
2015-03-02,"09:00:00","19:00:00"
2015-03-03,"09:00:00","19:00:00"
2015-03-04,"09:00:00","19:00:00"
2015-03-05,"09:00:00","19:00:00"
2015-03-06,"09:00:00","19:00:00"
2015-03-07,"09:00:00","18:00:00"
2015-03-08,"00:00:00","00:00:00"
2015-03-09,"09:00:00","19:00:00"
2015-03-10,"09:00:00","19:00:00"
2015-03-11,"09:00:00","19:00:00"
2015-03-12,"09:00:00","19:00:00"
2015-03-13,"09:00:00","19:00:00"
2015-03-14,"09:00:00","18:00:00"
2015-03-15,"00:00:00","00:00:00"
2015-03-16,"09:00:00","19:00:00"
2015-03-17,"09:00:00","19:00:00"
2015-03-18,"09:00:00","19:00:00"
2015-03-19,"09:00:00","19:00:00"
2015-03-20,"09:00:00","19:00:00"
2015-03-21,"09:00:00","18:00:00"
2015-03-22,"00:00:00","00:00:00"
2015-03-23,"09:00:00","19:00:00"
2015-03-24,"09:00:00","19:00:00"
2015-03-25,"09:00:00","19:00:00"
2015-03-26,"09:00:00","19:00:00"
2015-03-27,"09:00:00","19:00:00"
2015-03-28,"09:00:00","18:00:00"
2015-03-29,"00:00:00","00:00:00"
2015-03-30,"09:00:00","19:00:00"
2015-03-31,"09:00:00","19:00:00"
2015-04-01,"09:00:00","19:00:00"
2015-04-02,"09:00:00","19:00:00"
2015-04-03,"09:00:00","19:00:00"
2015-04-04,"09:00:00","18:00:00"
2015-04-05,"00:00:00","00:00:00"
2015-04-06,"09:00:00","19:00:00"
2015-04-07,"09:00:00","19:00:00"
2015-04-08,"09:00:00","19:00:00"
2015-04-09,"09:00:00","19:00:00"
2015-04-10,"09:00:00","19:00:00"
2015-04-11,"09:00:00","18:00:00"
2015-04-12,"00:00:00","00:00:00"
2015-04-13,"09:00:00","19:00:00"
2015-04-14,"09:00:00","19:00:00"
2015-04-15,"09:00:00","19:00:00"
2015-04-16,"09:00:00","19:00:00"
2015-04-17,"09:00:00","19:00:00"
2015-04-18,"09:00:00","18:00:00"
2015-04-19,"00:00:00","00:00:00"
2015-04-20,"09:00:00","19:00:00"
